ほか,0,文字,0.0622723907,明石,0.0529107723,そこ,0.0392386879,下敷き,3.72287e-05,ほか,0.0991854546,そこ,0.0736929084,昼間,0.169345771,話,0.0552742805,外,0
お店,0,パーク,0.0379202998,花火,0.051380019,粘土,0.0391998801,拡散,2.77627e-05,以上,0.0991854546,僕,0.0688489203,主婦,0.169345771,大事,0.049227091,ぼく,0
広告,0,一言,0.0341774118,電車,0.0513573954,周辺,0.0309043018,粘土,2.31575e-05,大勢,0.0991854546,電車,0.0518837775,晩御飯,0.169345771,そっち,0.0416942317,つもり,0
以上,0,看板,0.0339395537,場所,0.0458835636,半分,0.0251373399,アナウンス,2.00463e-05,サラリーマン,0.0991854546,理解,0.0438477041,お酒,0.169345771,タイプ,0.0415748767,外側,0
大勢,0,お祭り,0.0147704507,今度,0.0425792846,メリケン,0.0171607117,何枚,1.5933e-05,ほとんど,0.0991854546,自分,0.0397015733,いついつ,0.169345771,文字,0.0331378754,どっち,0
もの,0,周辺,0.0106335952,僕,0.036075739,テデックス,0.0055369355,理解,1.31392e-05,昼間,0.0991854546,表現,0.037000282,子,0.169345771,やな,0.0269138434,バス,0
時間,0,なにこれ,0.0094230687,下敷き,0.0064357306,なにこれ,0.0050989809,看板,5.8504e-06,主婦,0.0991854546,糊,0.0366880345,吊革,0.169345771,気合,0.020011051,東京,0
朝,0,認知,0,認知,0,認知,0,認知,0,晩御飯,0.0991854546,認知,0,議論,0.169345771,認知,0,画面,0
サラリーマン,0,労力,0,労力,0,労力,0,労力,0,お酒,0.0991854546,労力,0,ジャンル,0.169345771,労力,0,後ろ,0
学生,0,結果,0,結果,0,結果,0,結果,0,いついつ,0.0991854546,結果,0,趣味,0.169345771,結果,0,トラック,0
ほとんど,0,目,0,目,0,目,0,目,0,子,0.0991854546,目,0,方,0.169345771,目,0,そこ,0
昼間,0,今回,0,今回,0,今回,0,今回,0,吊革,0.0991854546,今回,0,ばば,0.169345771,今回,0,装飾,0
主婦,0,移動,0,移動,0,移動,0,移動,0,議論,0.0991854546,移動,0,相談,0.169345771,移動,0,自然,0
晩御飯,0,表示,0,表示,0,表示,0,表示,0,ジャンル,0.0991854546,表示,0,時,0.169345771,表示,0,ほお,0
お酒,0,こと,0,こと,0,こと,0,こと,0,趣味,0.0991854546,こと,0,ただ,0.169345771,こと,0,正直,0
今日,0,地域,0,地域,0,地域,0,地域,0,方,0.0991854546,地域,0,大会,0.169345771,地域,0,プロトタイプ,0
いついつ,0,みんな,0,みんな,0,みんな,0,みんな,0,ばば,0.0991854546,みんな,0,町,0.169345771,みんな,0,一枚,0
